CO_PROVA;CO_POSICAO;enunciado;alternativa_A;alternativa_B;alternativa_C;alternativa_D;alternativa_E;gabarito;TP_LINGUA;NU_PARAM_B
1395;1;"El vírus de la cancelación ¿De qué se trata este fenómeno? Se entiende por cultura de la cancelación a una práctica popular que consiste en ""quitarle apoyo"" especialmente a figuras públicas y compañías multinacionales después de que hayan hecho o dicho algo considerado objetable u ofensivo. Cuando alguien o algo está cancelado se descarta, se deja de ver, se deja de escuchar, se descalifica, se aísla, se abandona, se niega, se deja de consumir hasta que eventualmente pueda o no desaparecer. Es una estrategia muy extendida en la historia de las luchas anticoloniales, antiespecistas, sexodisidentes, feministas y, especialmente en nuestro país, también llevadas adelante por el movimiento de derechos humanos. Entonces, ¿dónde radica el problema? Se puede observar positivamente que hay un proceso cada vez más agudo de socialización de herramientas críticas para desmantelar formas de desigualdad incrustadas en los lazos sociales. Pero la popularización irrestricta y el uso amplificado de esta herramienta por fuera de sus contextos colectivos de emergencia han despertado efectos adversos en una sociedad atravesada por las pantallas como formas de encierro-consumo, la representación online como única esfera pública y un imperativo felicista cuya moral nos obliga a trabajar ansiosamente por una vida sin desacuerdos, sin errores y sin dolor, a como dé lugar. Disponível em: www.revistaanfibia.com. Acesso em: 7 out. 2021 (adaptado). Na argumentação apresentada sobre cultura do cancelamento, esse texto objetiva";apresentar o conceito desse tipo de prática.;mostrar a contrariedade das mídias com relação a essa atitude.;criticar o impacto dessa cultura sobre a vida representada nas redes.;evidenciar a democratização dessa prática na sociedade virtual.;discorrer historicamente sobre a origem e as causas dessa cultura.;C;1;121829,00
1395;1;Disponível em: http://thumbpress.com. Acesso em: 28 out. 2013. A relação entre as citações atribuídas ao físico Albert Einstein e ao cantor e compositor Bob Marley reside na crença de que é necessário;dar oportunidade a pessoas que parecem necessitadas.;identificar contextos que podem representar perigo.;tirar proveito de situações que podem ser adversas.;evitar dificuldades que parecem ser intransponíveis.;contestar circunstâncias que parecem ser harmônicas.;C;0;0.50119
1395;2;"""Y si llueve, que llueva"", es un refrán gallego. Para mí cobró sentido una noche de febrero, cuando vivía en el barrio de la Macarena de Sevilla con dos buenos amigos, gallegos también. Mi compañero y yo nos decidimos a salir ese sábado de noche, pese a que había estado lloviendo algunas horas a lo largo del día. La idea era una locura, al parecer. Le propusimos salir ""de parranda"" con nosostros a una amiga andaluza, ésta respondió que no, nos dijo que no iba a salir un día de lluvia. Flipamos. Comentamos entre nosostros que si los gallegos no saliésemos de casa cuando llueve, en invierno saldríamos poco. Habríamos inventado el confinamento hace mucho. Los gallegos no dejamos de salir por la lluvia. Disponível em: https://politicahora.es. Acesso em: 26 out. 2021. O comportamento dos personagens narrado no texto destaca o(a)";abandono da própria identidade.;medo dos perigos durante a noite.;influência do grupo na tomada de decisão.;diferença cultural entre galegos e andaluzes.;variação metereológica entre Sevilha e Galiza.;D;1;108527,00
1395;2;"Holy War Oh, so we can hate each other and fear each other We can build these walls between each other Baby, blow by blow and brick by brick Keep yourself locked in, yourself locked in [...] Oh, maybe we should love somebody Oh, maybe we could care a little more So maybe we should love somebody Instead of polishing the bombs of holy war KEYS, A. Here . Estados Unidos: RCA Records, 2016. Nessa letra de canção, que aborda um contexto de ódio e intolerância, o marcador ""instead of"" introduz a ideia de";mudança de comportamento.;panorama de conflitos.;rotina de isolamento.;perspectiva bélica.;cenário religioso.;A;0;0.81082
1395;3;"Celerina Patricia Sánchez Santiago comentó que su acercamiento a la poesía fue por la escuela, con libros de texto en español. Descubrió el gusto por las letras pero notó que no había textos en la suya, así que, contra muchos comentarios negativos que recibió en ese momento, decidió emprender el camino de la escritura pero en mixteco. ""Fue un proceso de años para notar que en mi lengua podía escribir poesía, porque me decían que mi lengua era tan pobre que no podía tener conceptos abstractos, era un reto pero yo sabía que sí era posible"". Este proceso no sólo le ayudó a vivir la poesía en mixteco, sino a ""ir descubriendo mi propia historia y la de mi pueblo"". Comentó que las lenguas habladas en el territorio nacional se encuentran en gran desventaja con el español. ""El reconocimiento a la diversidad no se ha hecho y ha sido tratada de borrar. Este es un país con 68 lenguas y somos monolingües del español. Antes había nulo de reconocimiento de ser bilingüe, negabas que hablabas tu lengua, hasta le decían dialecto. Era parte del proceso fatal que nos llevó a no reconocernos en un país multilingüe. ¿Si tenemos varias lenguas por qué no aprender?"". Disponível em: www.fapcom.edu.br. Acesso em: 20 nov. 2021. Em sua escrita poética, a poetisa mexicana Celerina Patricia Sánchez Santiago assume o desafio de";destacar a importância da literatura na formação escolar.;discutir a hegemonia da literatura escrita em espanhol.;promover reflexões acerca de conceitos abstratos.;representar a pluralidade linguística de seu país.;narrar uma trajetória de autoconhecimento.;D;1;0.6706
1395;3;Disponível em: www.hongkiat.com. Acesso em: 18 ago. 2017 (adaptado). O texto estabelece uma relação entre elementos da natureza e comandos de um programa de computador para;alertar as pessoas sobre a rápida destruição da natureza.;conscientizar os indivíduos sobre a passagem acelerada do tempo.;apresentar aos leitores os avanços tecnológicos na área da agricultura.;orientar os usuários sobre o emprego sustentável das novas tecnologias.;informar os interessados sobre o tempo de crescimento de novas árvores.;A;0;0.08809
1395;4;"Morir muy vivos No todo es perder, es cierto. Si te esfuerzas mucho y bien, porque no viene de fábrica, ganas conocimiento del mundo y de ti mismo, empatía, sosiego y, en suma, algo que podríamos denominar sabiduría. Pero creo que para ello hay que mantenerse alerta y no darse nunca por vencido. Pero también es un tiempo para saldar cuentas. No creo que haya que dejarse llevar por el peso de los dias como um leño podrido al que las olas arrojan finalmente a la playa. Uno siempre puede intentar sacarse alguna de las piedras que lleva a la espalda, decir las cosas que nunca se atrevió a decir, cumplir en la medida de lo posible los deseos arrumbados, resgatar algún sueño que quedó en la cuneta. No rendirse, esa es la clave. Y sobre todo decirse: ¿y por qué no? Porque la vejez no está reñida con la audacia. Debemos aspirar a morir muy vivos. MONTERO, R. Disponível em: https://elpais.com. Acesso em: 4 dez. 2017. Nesse texto, ao utilizar a expressão ""morir muy vivos"" , a escritora Rosa Montero evidencia a importância de se";acumular sabedoria com o passar do tempo.;observar o impacto dos anos sobre o corpo.;rever os erros e os acertos de sua trajetória.;desfrutar de todas as fases da vida.;libertar das amarras sociais.;D;1;0.32823
1395;4;"I remember being caught speaking Spanish at recess [...] I remember being sent to the corner of the classroom for ""talking back"" to the Anglo teacher when all I was trying to do was tell her how to pronounce my name. ""If you want to be American , speak 'American'. If you don't like it, go back to Mexico where you belong"". ""I want you to speak English [...]"", my mother would say, mortified that I spoke English like a Mexican. At Pan American University, I and all Chicano students were required to take two speech classes. Their purpose: to get rid of our accents. ANZALDÚA, G . Borderlands/La Frontera . The New Mestiza San Francisco. Aunt Lute Books, 1987 . O problema abordado nesse texto sobre imigrantes residentes nos Estados Unidos diz respeito aos prejuízos gerados pelo(a)";repúdio ao sotaque espanhol no uso do inglês.;resignação diante do apagamento da língua materna.;escassez de oportunidades de aprendizado do espanhol.;choque entre falantes de línguas distintas de diferentes gerações.;concorrência entre as variações linguísticas do inglês e as do espanhol.;A;0;0.52101
1395;5;Los últimos días del sitio de Tenochtitlán Y todo esto pasó con nosotros. Nosotros lo vimos, nosotros lo admiramos. Con esta lamentosa y triste suerte nos vimos angustiados. En los caminos yacen dardos rotos, los cabellos están esparcidos. Destechadas están las casas, enrojecidos tienen sus muros. Gusanos pululan por calles y plazas, y en las paredes están salpicados los sesos. Rojas están las aguas, están como teñidas, y cuando la bebimos, es como si bebiéramos agua de salitre. Manuscrito anónimo de Tlatelolco , 1528. Disponível em: www.biblioweb.tic.unam.mx . Acesso em: 13 out. 2021 (fragmento). Nesse poema, o eu lírico representa a voz de um sobrevivente asteca que testemunha a;destruição da capital do Império Asteca pelos colonizadores espanhóis.;degradação do meio ambiente no entorno da capital do Império Asteca.;tristeza dos refugiados astecas ao deixarem a capital do Império rumo ao exílio.;aflição dos astecas ao receberem os colonizadores espanhóis na capital do Império.;resistência dos astecas às mudanças feitas pelos colonizadores espanhóis na capital do Império.;A;1;0.97227
1395;5;"March 9th, 1981 Ms. Walker, While your piece ""The Color Purple"" presents a compelling and thoroughly moving narrative, we were bothered by your decision to end every sentence with an exclamation point. As a reader, this was extremely jarring. I am afraid, for this reason, we are forced to make the difficult decision to pass on your manuscript. Best of luck. Stephanie Allen-Nichols Disponível em: www.clickhole.com . Acesso em: 26 out. 2015. A carta da editora Stephanie Allen-Nichols à escritora Alice Walker tem o propósito de";problematizar o enredo de sua obra.;acusar o recebimento de seu manuscrito.;solicitar a revisão ortográfica de seu texto.;informar a transferência de seu livro a outra editora.;comunicar a recusa da publicação de seu romance.;E;0;0.88646
